2017-12;58,70;8,63
2017-11;59,35;8,37
2017-10;59,95;8,56
2017-09;58,24;9,22
2017-08;58,61;9,10
2017-07;57,52;9,68
2017-06;59,48;8,72
2017-05;58,14;9,42
2017-04;59,26;8,91
2017-03;57,40;9,70
2017-02;57,25;10,50
2017-01;56,34;11,73
2016-12;58,98;8,74
2016-11;60,35;7,51
2016-10;60,77;8,29
2016-09;58,71;8,51
2016-08;58,79;8,99
2016-07;57,30;9,85
2016-06;58,82;8,88
2016-05;58,22;8,85
2016-04;58,76;9,02
2016-03;56,88;10,14
2016-02;57,93;10,00
2016-01;56,86;11,91
2015-12;59,52;8,59
2015-11;60,88;7,27
2015-10;61,41;8,19
2015-09;58,71;8,98
2015-08;58,86;9,09
2015-07;58,35;8,84
2015-06;59,10;8,25
2015-05;58,81;8,93
2015-04;59,27;9,50
2015-03;58,23;8,86
2015-02;57,39;9,86
2015-01;56,94;10,79
2014-12;58,88;8,72
2014-11;60,33;7,71
2014-10;61,27;7,86
2014-09;59,16;8,35
2014-08;58,97;8,90
2014-07;57,64;9,29
2014-06;58,35;9,19
2014-05;58,32;8,80
2014-04;58,12;8,97
2014-03;56,72;9,73
2014-02;56,29;10,68
2014-01;56,56;11,10
2013-12;59,06;8,44
2013-11;58,84;8,48
2013-10;60,92;7,79
2013-09;58,01;8,98
2013-08;58,59;9,27
2013-07;57,81;9,88
2013-06;57,84;9,24
2013-05;58,73;9,42
2013-04;57,00;10,17
2013-03;56,47;10,21
2013-02;56,20;11,79
2013-01;56,16;12,07
2012-12;58,41;9,55
2012-11;58,36;9,25
2012-10;59,94;8,85
2012-09;57,27;9,94
2012-08;58,14;9,75
2012-07;57,22;10,86
2012-06;58,79;10,03
2012-05;58,26;10,71
2012-04;57,48;10,86
2012-03;57,52;10,36
2012-02;56,73;11,87
2012-01;55,95;12,48
