fecha,valor
2012-01,32.7
2012-02,26.8
2012-03,24.4
2012-04,26.6
2012-05,26.5
2012-06,20.6
2012-07,23.2
2012-08,18.1
2012-09,25
2012-10,25.6
2012-11,25.3
2012-12,21.5
2013-01,23.1
2013-02,14.9
2013-03,14.8
2013-04,23.7
2013-05,20.1
2013-06,27.4
2013-07,25.1
2013-08,13.4
2013-09,14.6
2013-10,22.3
2013-11,23.7
2013-12,22.8
2014-01,27.3
2014-02,15.7
2014-03,18.5
2014-04,18.5
2014-05,23.9
2014-06,26.5
2014-07,26.6
2014-08,20.5
2014-09,17.5
2014-10,21.7
2014-11,24.5
2014-12,22.4
2015-01,17.9
2015-02,14
2015-03,2.3
2015-04,8.2
2015-05,13.7
2015-06,14.7
2015-07,2.6
2015-08,-0.4
2015-09,4.3
2015-10,6.8
2015-11,6.7
2015-12,1.1
2016-01,-21.3
2016-02,-21
2016-03,-20.1
2016-04,-13
2016-05,-12.5
2016-06,-11.3
2016-07,-14.9
2016-08,-6.6
2016-09,-2.1
2016-10,-3.2
2016-11,-4.6
2016-12,-10.7
2017-01,-30.2
2017-02,-24.3
2017-03,-21.1
2017-04,-12.8
2017-05,-16.9
2017-06,-11.7
2017-07,-9.5
2017-08,-15.9
2017-09,-10.3
2017-10,-10.6
2017-11,-10
2017-12,-6
2018-01,-5.4
2018-02,-7.8
2018-03,-3.2
2018-04,1.5
2018-05,8.9
2018-06,15.5
2018-07,9.8
2018-08,4.7
